live_child_parent_pairs	mismatched_rows
6201	0


no results


support_level	parent_count
1 resolved child	15955
2 resolved children	35299
3-5 resolved children	43747
6+ resolved children	8297

family_signature	conflicted_parents
FA_HSS_HB_IB_EOBD | FA_HSS_HB_IB_EOBD_2	358
FA_FROM_ACADIA_HEALTHCARE_IB_EO | FA_FROM_ACADIA_HEALTHCARE_IB_EO_P2S_RC	310
FA_HSS_INSURANCE_FOLLOWUP_IB_EO_D2S_RC | FA_TO_HSS_INSURANCE_FOLLOWUP_IB_EO_NB_TR	239
FA_GET_FROM_LEXIS_NEXIS_OB_BD_S2D_SP | FA_GET_FROM_LEXIS_NEXIS_OB_BD_S2D_SP2	230
FA_FROM_ACADIA_HEALTHCARE_IB_EO | FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD	210
FA_MEDICAL_CENTER_HEALTH_IB_BD_NB | FA_MEDICAL_CENTER_HEALTH_IB_BD_RT	138
FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD | FA_FROM_ACADIA_HEALTHCARE_IB_EO_P2S_RC	37
FA_FROM_REVSPRING_IB_BD_PULL | FA_FROM_REVSPRING_IB_PULL	20
FA_FROM_ACADIA_HEALTHCARE_IB_EO | FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD | FA_TO_ACADIA_HEALTHCARE_EO_OB_EO_S2D_RTNT	3
FA_FROM_REVSPRING_ENOTICE_IB_D2S_RC | FA_FROM_REVSPRING_ITS_CLIENTDATA_IB_D2S_RC | FA_FROM_REVSPRING_ITS_FILTER_IB_D2S_RC | FA_FROM_REVSPRING_ITS_FROSTARNETT_IB_D2S_RC | FA_FROM_REVSPRING_NCOAUPDT_IB_D2S_RC	2
FA_FROM_VANDERBILT_NEWLIGHT_STATEMENT_REVSPRING_IB_EO_D2S_SP | FA_TO_VANDERBILT_NEWLIGHT_STATEMENT_REVSPRING_OB_EO_S2D_SP	1

agreed_dispatcher	exposed_parents	exposed_null_children
FA_FROM_REVSPRING_IB_BD_PULL	10608	0
FA_FROM_REVSPRING_IB_PULL	936	0
FA_FROM_ACADIA_HEALTHCARE_IB_EO	611	0
FA_TO_HSS_INSURANCE_FOLLOWUP_IB_EO_NB_TR	375	0
FA_HSS_INSURANCE_FOLLOWUP_IB_EO_D2S_RC	372	0
FA_MEDICAL_CENTER_HEALTH_IB_BD_NB	258	0
FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD	246	52
FA_MEDICAL_CENTER_HEALTH_IB_BD_RT	244	0
FA_FROM_ACADIA_HEALTHCARE_IB_EO_P2S_RC	112	0
FA_HSS_HB_IB_EOBD_2	78	70
FA_HSS_HB_IB_EOBD	68	0
FA_TO_VANDERBILT_NEWLIGHT_STATEMENT_REVSPRING_OB_EO_S2D_SP	50	0
FA_TO_ACADIA_HEALTHCARE_EO_OB_EO_S2D_RTNT	28	0
FA_GET_FROM_LEXIS_NEXIS_OB_BD_S2D_SP2	2	0

timing_pattern_type	timing_shape	schedules	live_parent_runs
DAILY	EXPLICIT TIMES	242	645
INTERVAL	INTERVAL	31	401
MIXED	INTERVAL	5	90
MONTHLY	EXPLICIT TIMES	172	10
WEEKLY	EXPLICIT TIMES	181	121


no results


dispatcher_name	runs	min_lag	avg_lag	max_lag
FA_FROM_VANDERBILT_NEWLIGHT_IB_EO_NB_RC	5	0	0.00	0
FA_MEDICAL_CENTER_HEALTH_IB_BD_RT	5	0	0.00	0
FA_TO_STITCHFIN_WVU_IB_BD_PUSH	3	0	0.00	0
FA_FROM_ACADIA_HEALTHCARE_IB_EO_P2S_RC	5	0	0.00	0
FA_FROM_ACCRETIVE_IB_BD_PULL	11	0	0.00	0
FA_FROM_MERCY_ENSEMBLE_SUMMIT_IB_BD_PULL	5	0	0.00	0
FA_FROM_ROPER_ST_FRANCIS_IB_BD_PULL	5	0	0.00	0
FA_HSS_HB_IB_EOBD	5	0	0.00	0
FA_TO_ACCRETIVE_ST_MARY_OB_BD_S2P_RT	1	0	0.00	0
FA_TO_ASCENSION_MEDICAL_GROUP_OB_BD_S2D_RM	1	0	0.00	0
FA_FULL_INVENTORY_INCEPTION_IB_EO	3	0	0.00	0
FILE_REMOVE_VANDERBILT_NEWLIGHT	6	0	0.00	0
FA_ARNOT_HEALTH_IB_EO_NB	6	0	0.00	0
FA_FROM_ADENA_EPIC_OSU_IB_BD_PULL	6	0	0.00	0
FA_FROM_AMBULATORY_CONSULTANTS_MEDICAL_GROUP_IB_BD_SFTP_PULL	6	0	0.00	0
FA_DM_ACCOUNTS_RETURN_IB_BDEO_S2X_BDL	11	0	0.00	0
FA_FROM_FORTPAYNE_IB_BD_PULL	5	0	0.00	0
FA_HSS_INSURANCE_FOLLOWUP_IB_EO_D2S_RC	5	0	0.00	0
FA_TO_ACCRETIVE_OB_BD_S2P_SE	1	0	0.00	0
FA_TO_ASCENSION_DELL_CHILDREN_NORTH_OB_BD_S2D_RT	1	0	0.00	0
FA_TO_DENVER_HEALTH_HEALTHFUSE_SECONDARY_OB_BD_S2D_RC	1	0	0.00	0
FA_TO_HSS_INSURANCE_FOLLOWUP_IB_EO_NB_TR	5	0	0.00	0
FA_TO_MEDICAL_CENTER_HEALTH_SYSTEM_HEALTHFUSE_OB_BD_S2D_SP	3	0	0.00	0
FA_FROM_ACCURINT_IB_BD_P2X_BDL	6	0	0.00	0
FA_FROM_ANESTHESIA_ASSOCIATES_OF_SEQUIN_IB_BD_SFTP_PULL	6	0	0.00	0
FA_FROM_FAIRFIELD_IB_BD_PULL	5	0	0.00	0
FA_FROM_INCEPTION_PAY_PLANS_IB_EO_D2S_RPT	6	0	0.00	0
FA_FROM_MEDICAL_ANESTHESIA_GROUP_IB_BD_SFTP_PULL	6	0	0.00	0
FA_FROM_MERCY_DATAARK_IB_BD_PULL	45	0	0.00	0
FA_SUNY_IB_EO_NB	6	0	0.00	0
FA_TO_LEXIS_NEXIS_OB_BD_S2D_RM	6	0	0.00	0
FA_TO_MCCURTAIN_MEMORIAL_HOSPITAL_OB_BD_S2P_RTNT	1	0	0.00	0
FA_TO_MONUMENT_HEALTH_OB_EO_S2D_RC	1	0	0.00	0
FA_TO_VISPA_MONUMENT_HEALTH_HB_IB_EO_PUSH	6	0	0.00	0
FA_FROM_CG1_ARNOT_IB_EO_PULL	6	0	0.00	0
FA_FROM_COACHELLA_VALLEY_ANESTHESIA_IB_BD_SFTP_PULL	6	0	0.00	0
FA_FROM_JONATHAN_LEICHTLING_MD_IB_BD_SFTP_PULL	6	0	0.00	0
FA_FROM_NICKLAUS_CHILDREN_HOSPITAL_IB_BD_PULL	5	0	0.00	0
FA_FROM_REVSPRING_IB_BD_PULL	78	0	0.00	0
FA_TO_MEMORIAL_HOSPITAL_OF_GULFPORT_OB_BD_S2D_RT	5	0	0.00	0
FA_TO_MEMORIAL_HOSPITAL_OF_GULFPORT_WEEKLY_OB_BD_S2D_INV	1	0	0.00	0
FA_TO_VANDERBILT_NEWLIGHT_STATEMENT_REVSPRING_OB_EO_S2D_SP	4	0	0.00	0
FA_TO_WEBRECON_WORKERS_COMP_OB_BD_S2D_RM	3	0	0.00	0
FA_FROM_ARIETIS_HEALTH_IB_BD_PULL	5	0	0.00	0
FA_FROM_MEMORIAL_HOSPITAL_BILOXI_IB_BD_SFTP_PULL	5	0	0.00	0
FA_FROM_NORTON_HEALTHCARE_EPIC_IB_BD_PULL	5	0	0.00	0
FA_FROM_ST_THOMAS_EMERGENCY_MED_IB_BD_PULL	16	0	0.00	0
FA_FROM_UHNJ_MED_METRIX_IB_BD_PULL	5	0	0.00	0
FA_CARILION_CLINIC_DENTAL_CARE_IB_BD	3	0	0.00	0
FA_FROM_THEDACARE_IB_BD_PULL	10	0	0.00	0
FA_MEDICAL_CENTER_HEALTH_IB_BD_NB	5	0	0.00	0
FA_TO_WVU_INSFU_HEALTHFUSE_OB_EO_S2D_RC	1	0	0.00	0
FA_FROM_MERCY_EPIC_IB_BD_PULL	5	0	0.00	0
FA_LIFESPAN_R1_IB_BD_TR	5	0	0.00	0
FA_TO_ASCENSION_SETON_OB_BD_S2D_RC	1	0	0.00	0
FA_TO_ASSOCIATED_PATHOLOGISTS_IB_BDEO_S2D_RPT_BNK_DEC	1	0	0.00	0
FA_TO_BON_SECOURS_PB_OB_BD	1	0	0.00	0
FA_TO_CULICCHIA_NEUROLOGICAL_CLINIC_OB_BD_S2D_RTRM	1	0	0.00	0
FA_TO_DENVER_HEALTH_HEALTHFUSE_OB_BD_S2D_DIALER	3	0	0.00	0
FA_TO_MEMORIAL_HOSPITAL_OF_GULFPORT_DAILY_DIALER_OB_BD_S2D_RC	5	0	0.00	0
FA_TO_PHIN_SOLUTIONS_OB_BD_S2D_RT	6	0	0.00	0
FA_TO_RUSH_OB_RPT	5	0	0.00	0
FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD	5	0	0.00	0
FA_FROM_ADENA_HOSPITAL_IB_BD_PULL	5	0	0.00	0
FA_FROM_PHIN_SOLUTIONS_IB_BD_PULL	6	0	0.00	0
FA_FROM_TRANS_UNION_PCT_IB_D2S_RC	6	0	0.00	0
FA_HSS_HB_IB_EOBD_2	5	0	0.00	0
FA_FROM_ACADIA_HEALTHCARE_IB_EO	21	0	0.00	0
FA_FROM_ENSEMBLE_COVENANT_IB_BD_PULL	10	0	0.00	0
FA_FROM_RNN_IB_D2S_RESP	3	0	0.00	0
FA_FROM_ST_THOMAS_EMERGENCY_MEDICAL_SERVICES_IB_BD_PULL	1	0	0.00	0
FA_FROM_VIRGINIA_COMMONWEALTH_UNIVERSITY_IB_BD_SFTP_PULL	5	0	0.00	0
FA_HSS_SBO_IB_EOBD	5	0	0.00	0
FA_TO_TRANS_UNION_PCT_OB_S2D_RC	6	0	0.00	0
FA_TO_VISPA_MONUMENT_HEALTH_IB_EO_PUSH	6	0	0.00	0
FA_TO_WIAPP_BD_OB_S2P_RT	1	0	0.00	0
FA_MONUMENT_HEALTH_HB_IB_EO	5	0	0.00	0
FA_PATHGROUP_LABS_IB_BD	4	0	0.00	0
FA_RADIOLOGY_PARTNERS_IB_BD_NB_2	4	0	0.00	0
FA_FROM_ANESTHESIOLOGY_CONSULTANTS_OF_MARIN_IB_BD_SFTP_PULL	6	0	0.00	0
FA_FROM_HICKMAN_COMMUNITY_HEALTHCARE_IB_BD_PULL	1	0	0.00	0
FA_FROM_MERCY_ENS_NICKLAUS_PB_IB_BD_PULL	5	0	0.00	0
FA_FROM_ACADIA_HEALTHCARE_IB_BD_P2S_TR	17	0	0.00	0
FA_FROM_MERCY_ENS_ARDENT_PB_IB_BD_PULL	5	0	0.00	0
FA_FROM_MSN_HEALTHCARE_SOLUTION_IB_BD_SFTP_PULL	6	0	0.00	0
FA_FROM_UNIVERSITY_HOSPITAL_OF_NEW_JERSEY_EPIC_IB_BD_PULL	6	0	0.00	0
FA_TO_ASSOCIATED_PATHOLOGISTS_XIFIN_OB_BD_S2D_RM	1	0	0.00	0
FA_TO_DENVER_HEALTH_HEALTHFUSE_OB_BD_S2D_RC	1	0	0.00	0
FA_TO_JACK_HUGHSTON_OB_EO_S2D_INV	1	0	0.00	0
FA_TO_PHIN_SOLUTIONS_OB_BD_S2D_RM	1	0	0.00	0
FA_TO_SETON_SMITHVILE_OB_BD_S2P_RT	1	0	0.00	0

lag_bucket	runs
0-1 min	715
16+ min	60
6-15 min	1

verdict	runs
1-CORRECT	147
2-INCORRECT	4

actual_dispatcher	runs	correct	incorrect	ties
FA_FROM_ACADIA_HEALTHCARE_IB_EO	21	21	0	0
FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD	5	5	0	0
FA_FROM_ACADIA_HEALTHCARE_IB_EO_P2S_RC	5	5	0	0
FA_FROM_REVSPRING_IB_BD_PULL	78	78	0	0
FA_FROM_REVSPRING_IB_PULL	8	4	4	0
FA_HSS_HB_IB_EOBD	5	5	0	0
FA_HSS_HB_IB_EOBD_2	5	5	0	0
FA_HSS_INSURANCE_FOLLOWUP_IB_EO_D2S_RC	5	5	0	0
FA_MEDICAL_CENTER_HEALTH_IB_BD_NB	5	5	0	0
FA_MEDICAL_CENTER_HEALTH_IB_BD_RT	5	5	0	0
FA_TO_HSS_INSURANCE_FOLLOWUP_IB_EO_NB_TR	5	5	0	0
FA_TO_VANDERBILT_NEWLIGHT_STATEMENT_REVSPRING_OB_EO_S2D_SP	4	4	0	0
